segment_id,segment_name,lifecycle_stage,primary_theme,secondary_theme,theme_rationale
0,Needs Attention,trial,unpredictability,epic_meaning,Activeness=0.27 → needs discovery triggers; Secondary 'epic_meaning' for complementary motivation
0,Needs Attention,paid,unpredictability,epic_meaning,Activeness=0.27 → needs discovery triggers; Secondary 'epic_meaning' for complementary motivation
0,Needs Attention,churned,unpredictability,epic_meaning,Activeness=0.27 → needs discovery triggers; Secondary 'epic_meaning' for complementary motivation
0,Needs Attention,inactive,unpredictability,epic_meaning,Activeness=0.27 → needs discovery triggers; Secondary 'epic_meaning' for complementary motivation
1,At-Risk Users,trial,loss_avoidance,scarcity,Churn=0.77 → retention urgency; Secondary 'scarcity' for complementary motivation
1,At-Risk Users,paid,loss_avoidance,scarcity,Churn=0.77 → retention urgency; Secondary 'scarcity' for complementary motivation
1,At-Risk Users,churned,loss_avoidance,scarcity,Churn=0.77 → retention urgency; Secondary 'scarcity' for complementary motivation
1,At-Risk Users,inactive,loss_avoidance,scarcity,Churn=0.77 → retention urgency; Secondary 'scarcity' for complementary motivation
2,Social Engagers,trial,accomplishment,ownership,Gamification=0.68 → achievement drive; Secondary 'ownership' for complementary motivation
2,Social Engagers,paid,accomplishment,ownership,Gamification=0.68 → achievement drive; Secondary 'ownership' for complementary motivation
2,Social Engagers,churned,accomplishment,ownership,Gamification=0.68 → achievement drive; Secondary 'ownership' for complementary motivation
2,Social Engagers,inactive,accomplishment,ownership,Gamification=0.68 → achievement drive; Secondary 'ownership' for complementary motivation
3,Segment 3,trial,accomplishment,unpredictability,Gamification=0.32 → achievement drive; Secondary 'unpredictability' for complementary motivation
3,Segment 3,paid,accomplishment,ownership,Gamification=0.32 → achievement drive; Secondary 'ownership' for complementary motivation
3,Segment 3,churned,loss_avoidance,unpredictability,Churn=0.49 → retention urgency; Secondary 'unpredictability' for complementary motivation
3,Segment 3,inactive,unpredictability,empowerment,Activeness=0.46 → needs discovery triggers; Secondary 'empowerment' for complementary motivation
4,Active Users,trial,accomplishment,unpredictability,Gamification=0.54 → achievement drive; Secondary 'unpredictability' for complementary motivation
4,Active Users,paid,accomplishment,ownership,Gamification=0.54 → achievement drive; Secondary 'ownership' for complementary motivation
4,Active Users,churned,loss_avoidance,unpredictability,Churn=0.67 → retention urgency; Secondary 'unpredictability' for complementary motivation
4,Active Users,inactive,unpredictability,empowerment,Activeness=0.53 → needs discovery triggers; Secondary 'empowerment' for complementary motivation
5,Social Engagers,trial,accomplishment,ownership,Gamification=0.74 → achievement drive; Secondary 'ownership' for complementary motivation
5,Social Engagers,paid,accomplishment,ownership,Gamification=0.74 → achievement drive; Secondary 'ownership' for complementary motivation
5,Social Engagers,churned,accomplishment,ownership,Gamification=0.74 → achievement drive; Secondary 'ownership' for complementary motivation
5,Social Engagers,inactive,accomplishment,ownership,Gamification=0.74 → achievement drive; Secondary 'ownership' for complementary motivation
