template_id,segment_id,segment_name,lifecycle_stage,goal,theme,variant,message_title_en,message_title_hi,message_body_en,message_body_hi,cta_text_en,cta_text_hi,tone,hook,feature_reference,weight
TPL_0001,0,Needs Attention,churned,re_engagement,unpredictability,1,🎁 Surprise for you!,🎁 Tumhare liye surprise!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,unpredictability,Core Feature,1.0
TPL_0002,0,Needs Attention,churned,re_engagement,unpredictability,2,✨ Something new!,✨ Kuch naya hai!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,unpredictability,User Dashboard,1.0
TPL_0003,0,Needs Attention,churned,re_engagement,unpredictability,3,🎲 Discover today!,🎲 Aaj discover karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,unpredictability,Notifications,1.0
TPL_0004,0,Needs Attention,churned,re_engagement,unpredictability,4,🔓 Unlock something!,🔓 Kuch unlock karo!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,unpredictability,Ai Tutor,1.0
TPL_0005,0,Needs Attention,churned,re_engagement,unpredictability,5,🎉 Check this out!,🎉 Ye dekho!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,unpredictability,Leaderboard,1.0
TPL_0006,0,Needs Attention,churned,re_engagement,epic_meaning,1,🚀 Be part of it!,🚀 Iska hissa bano!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,epic_meaning,Core Feature,1.0
TPL_0007,0,Needs Attention,churned,re_engagement,epic_meaning,2,🌍 Make an impact!,🌍 Impact daalo!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,epic_meaning,User Dashboard,1.0
TPL_0008,0,Needs Attention,churned,re_engagement,epic_meaning,3,💫 Transform today!,💫 Aaj transform karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,epic_meaning,Notifications,1.0
TPL_0009,0,Needs Attention,churned,re_engagement,epic_meaning,4,🎓 Your journey!,🎓 Tumhara safar!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,epic_meaning,Ai Tutor,1.0
TPL_0010,0,Needs Attention,churned,re_engagement,epic_meaning,5,✨ Something bigger!,✨ Kuch bada karo!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,epic_meaning,Leaderboard,1.0
